"Year","Plot","Subplot","Treat.Code","Species","germ.tot","germ.proj","mort","viable","cover.g","rows"
"2016",5,"Grass","W","Agoseris heterophylla",52,29,8,95,30,"1"
"2016",5,"Grass","W","Plantago erecta",54,28,1,84,30,"2"
"2016",5,"Grass","W","Clarkia purpurea",36,24,9,96,30,"3"
"2016",5,"Grass","W","Hemizonia congesta",43,26,12,71,30,"4"
"2016",5,"Grass","W","Lasthenia californica",2,2,0,54,30,"5"
"2016",5,"No Grass","W","Agoseris heterophylla",31,29,6,95,NA,"6"
"2016",5,"No Grass","W","Hemizonia congesta",47,23,3,71,NA,"7"
"2016",5,"No Grass","W","Clarkia purpurea",41,28,6,96,NA,"8"
"2016",5,"No Grass","W","Lasthenia californica",5,5,2,54,NA,"9"
"2016",5,"No Grass","W","Plantago erecta",31,25,3,84,NA,"10"
"2016",15,"Grass","W","Lasthenia californica",4,2,0,54,25,"11"
"2016",15,"Grass","W","Clarkia purpurea",13,13,6,96,25,"12"
"2016",15,"Grass","W","Hemizonia congesta",60,24,13,71,25,"13"
"2016",15,"Grass","W","Agoseris heterophylla",51,25,5,95,25,"14"
"2016",15,"Grass","W","Plantago erecta",34,27,6,84,25,"15"
"2016",15,"No Grass","W","Hemizonia congesta",22,21,6,71,NA,"16"
"2016",15,"No Grass","W","Agoseris heterophylla",85,30,5,95,NA,"17"
"2016",15,"No Grass","W","Clarkia purpurea",31,27,3,96,NA,"18"
"2016",15,"No Grass","W","Lasthenia californica",6,6,2,54,NA,"19"
"2016",15,"No Grass","W","Plantago erecta",69,37,5,84,NA,"20"
"2016",17,"Grass","W","Clarkia purpurea",65,29,11,96,80,"21"
"2016",17,"Grass","W","Plantago erecta",56,27,5,84,80,"22"
"2016",17,"Grass","W","Lasthenia californica",5,5,1,54,80,"23"
"2016",17,"Grass","W","Hemizonia congesta",22,21,11,71,80,"24"
"2016",17,"Grass","W","Agoseris heterophylla",95,29,7,95,80,"25"
"2016",17,"No Grass","W","Agoseris heterophylla",68,26,9,95,NA,"26"
"2016",17,"No Grass","W","Lasthenia californica",8,8,1,54,NA,"27"
"2016",17,"No Grass","W","Clarkia purpurea",41,25,6,96,NA,"28"
"2016",17,"No Grass","W","Plantago erecta",37,27,13,84,NA,"29"
"2016",17,"No Grass","W","Hemizonia congesta",29,25,11,71,NA,"30"
"2016",18,"Grass","C","Hemizonia congesta",32,24,14,71,40,"31"
"2016",18,"Grass","C","Lasthenia californica",9,9,4,54,40,"32"
"2016",18,"Grass","C","Plantago erecta",21,18,7,84,40,"33"
"2016",18,"Grass","C","Agoseris heterophylla",95,25,7,95,40,"34"
"2016",18,"Grass","C","Clarkia purpurea",33,29,10,96,40,"35"
"2016",18,"No Grass","C","Hemizonia congesta",30,25,18,71,NA,"36"
