"Species","Year","Plot","Subplot","Treat.Code","germ.tot","germ.proj","tot.mort","viable","p.mort","PC.G","PC.F","PC.s13","p.germ","obs"
"Agoseris heterophylla","2016",83,"No Grass","D",60,26,3,95,0.115384615384615,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.631578947368421,1
"Agoseris heterophylla","2017",5,"No Grass","W",60,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.638297872340426,2
"Agoseris heterophylla","2017",15,"No Grass","W",74,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.787234042553192,3
"Agoseris heterophylla","2016",5,"Grass","W",52,29,8,95,0.275862068965517,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.547368421052632,4
"Agoseris heterophylla","2016",97,"No Grass","D",75,32,9,95,0.28125,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.789473684210526,5
"Agoseris heterophylla","2016",17,"No Grass","W",68,26,9,95,0.346153846153846,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.715789473684211,6
"Agoseris heterophylla","2016",29,"Grass","W",62,26,18,95,0.692307692307692,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.652631578947368,7
"Agoseris heterophylla","2016",81,"No Grass","D",46,31,13,95,0.419354838709677,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.484210526315789,8
"Agoseris heterophylla","2016",5,"No Grass","W",31,29,6,95,0.206896551724138,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.326315789473684,9
"Agoseris heterophylla","2017",17,"Grass","W",21,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.223404255319149,10
"Agoseris heterophylla","2017",23,"Grass","W",84,15,6,94,0.4,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.893617021276596,11
"Agoseris heterophylla","2017",37,"Grass","W",30,16,12,94,0.75,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.319148936170213,12
"Agoseris heterophylla","2016",15,"Grass","W",51,25,5,95,0.2,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.536842105263158,13
"Agoseris heterophylla","2016",17,"Grass","W",95,29,7,95,0.241379310344828,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,14
"Agoseris heterophylla","2017",82,"No Grass","C",77,16,2,94,0.125,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.819148936170213,15
"Agoseris heterophylla","2017",84,"No Grass","C",82,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.872340425531915,16
"Agoseris heterophylla","2017",23,"No Grass","W",75,17,6,94,0.352941176470588,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.797872340425532,17
"Agoseris heterophylla","2017",30,"No Grass","C",94,15,2,94,0.133333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,18
"Agoseris heterophylla","2017",56,"No Grass","C",74,15,1,94,0.0666666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.787234042553192,19
"Agoseris heterophylla","2017",5,"Grass","W",83,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.882978723404255,20
"Agoseris heterophylla","2017",30,"Grass","C",94,15,1,94,0.0666666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,21
"Agoseris heterophylla","2016",18,"Grass","C",95,25,7,95,0.28,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,22
"Agoseris heterophylla","2016",23,"Grass","W",95,35,18,95,0.514285714285714,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,23
"Agoseris heterophylla","2016",82,"No Grass","C",51,30,7,95,0.233333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.536842105263158,24
"Agoseris heterophylla","2017",59,"Grass","W",90,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.957446808510638,25
"Agoseris heterophylla","2016",29,"No Grass","W",62,32,8,95,0.25,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.652631578947368,26
"Agoseris heterophylla","2016",50,"No Grass","C",69,26,4,95,0.153846153846154,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.726315789473684,27
"Agoseris heterophylla","2016",92,"Grass","C",56,27,13,95,0.481481481481481,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.589473684210526,28
"Agoseris heterophylla","2016",19,"Grass","W",81,24,7,95,0.291666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.852631578947368,29
"Agoseris heterophylla","2016",98,"No Grass","C",95,36,17,95,0.472222222222222,-0.715725194710067,-0.876427664975023,-2.31764141783942,1,30
"Agoseris heterophylla","2017",59,"No Grass","W",78,15,0,94,0,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.829787234042553,31
"Agoseris heterophylla","2017",15,"Grass","W",77,15,2,94,0.133333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.819148936170213,32
"Agoseris heterophylla","2016",56,"No Grass","C",82,25,7,95,0.28,-0.715725194710067,-0.876427664975023,-2.31764141783942,0.863157894736842,33
