"Species","Year","Plot","Subplot","Treat.Code","germ.tot","germ.proj","trt.mort","pst.mort","tot.mort","viable","cover.g","p.mort","PC.G","PC.F","PC.s13"
"Agoseris heterophylla",2016,83,"No Grass","D",60,26,3,0,3,95,NA,0.115384615384615,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,5,"No Grass","W",60,15,0,0,0,94,NA,0,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,15,"No Grass","W",74,15,0,0,0,94,NA,0,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,5,"Grass","W",52,29,6,2,8,95,30,0.275862068965517,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,97,"No Grass","D",75,32,9,0,9,95,NA,0.28125,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,17,"No Grass","W",68,26,8,1,9,95,NA,0.346153846153846,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,29,"Grass","W",62,26,8,10,18,95,50,0.692307692307692,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,81,"No Grass","D",46,31,13,0,13,95,NA,0.419354838709677,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,5,"No Grass","W",31,29,6,0,6,95,NA,0.206896551724138,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,17,"Grass","W",21,15,0,0,0,94,90,0,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,23,"Grass","W",84,15,0,6,6,94,70,0.4,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,37,"Grass","W",30,16,8,4,12,94,80,0.75,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,15,"Grass","W",51,25,4,1,5,95,25,0.2,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,17,"Grass","W",95,29,7,0,7,95,80,0.241379310344828,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,82,"No Grass","C",77,16,2,0,2,94,NA,0.125,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,84,"No Grass","C",82,15,0,0,0,94,NA,0,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,23,"No Grass","W",75,17,5,1,6,94,NA,0.352941176470588,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,30,"No Grass","C",94,15,0,2,2,94,NA,0.133333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,56,"No Grass","C",74,15,0,1,1,94,NA,0.0666666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,5,"Grass","W",83,15,0,0,0,94,80,0,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,30,"Grass","C",94,15,0,1,1,94,75,0.0666666666666667,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,18,"Grass","C",95,25,5,2,7,95,40,0.28,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,23,"Grass","W",95,35,14,4,18,95,30,0.514285714285714,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,82,"No Grass","C",51,30,7,0,7,95,NA,0.233333333333333,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2017,59,"Grass","W",90,15,0,0,0,94,100,0,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,29,"No Grass","W",62,32,7,1,8,95,NA,0.25,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,50,"No Grass","C",69,26,3,1,4,95,NA,0.153846153846154,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",2016,92,"Grass","C",56,27,9,4,13,95,25,0.481481481481481,-0.715725194710067,-0.876427664975023,-2.31764141783942
